most abundant mass,monoisotopic mass,probability -1Da,probability 0Da,probability +1Da
15874.96678962,15865.9433880268,0.305936073059361,0.689497716894977,0.00273972602739726
46439.2491106608,46411.177653006,0.275675675675676,0.459459459459459,0.227027027027027
12955.6802460549,12947.6610061861,0.170195439739414,0.671824104234528,0.157166123778502
35414.236113337,35392.1807191744,0.304075235109718,0.405956112852665,0.184952978056426
41737.0703733785,41711.0053547945,0.188034188034188,0.50997150997151,0.262108262108262
14677.9252416998,14668.9034471497,0.116666666666667,0.664912280701754,0.215789473684211
43116.7923198144,43090.7247253637,0.348082595870207,0.52212389380531,0.109144542772861
50660.7491494956,50629.6709753787,0.239382239382239,0.536679536679537,0.185328185328185
40955.1265491617,40930.0633062713,0.147651006711409,0.679530201342282,0.157718120805369
53246.0130386339,53212.9306503535,0.103333333333333,0.49,0.353333333333333
